DENOM_CIA,CNPJ_CIA,ano,lucro_liquido,ativo_total,ROA
CIA PARANAENSE DE ENERGIA - COPEL,76.483.817/0001-20,2012,726520.0,21211554.0,3.4251144447031083
CIA SANEAMENTO BASICO EST SAO PAULO,43.776.517/0001-80,2012,1911900.0,26675793.0,7.167172124929894
CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,17.281.106/0001-03,2012,481723.0,9028137.0,5.335796299945382
CM HOSPITALAR S.A,12.420.164/0001-57,2012,,,
COGNA EDUCAÇÃO S.A.,02.800.026/0001-40,2012,202044.0,3783920.0,5.339542062200047
COMPANHIA BRASILEIRA DE ALUMÍNIO,61.409.892/0001-73,2012,,,
CONSTRUTORA TENDA S.A.,71.476.527/0001-35,2012,-121763.0,3324786.0,-3.6622808204798747
COSAN S.A.,50.746.577/0001-15,2012,2644790.0,22124135.0,11.954320473998193
CPFL ENERGIA S.A.,02.429.144/0001-93,2012,1256734.0,31075687.0,4.044106892954611
CRUZEIRO DO SUL EDUCACIONAL S.A.,62.984.091/0001-02,2012,,,
CSN MINERAÇÃO S.A.,08.902.291/0001-15,2012,,,
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,06.981.381/0001-13,2012,,,
CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,02.998.611/0001-04,2012,843488.0,9836575.0,8.57501721889987
CURY CONSTRUTORA E INCORPORADORA S.A.,08.797.760/0001-83,2012,,,
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,10.760.260/0001-19,2012,20112.0,1720046.0,1.1692710543787783
CYRELA BRAZIL REALTY S.A.EMPREEND E PART,73.178.600/0001-18,2012,778719.0,13829895.0,5.6306935085190455
D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,12.108.897/0001-50,2012,,,
DESKTOP S.A.,08.170.849/0001-15,2012,,,
DEXCO S.A.,97.837.181/0001-47,2012,,,
DEXCO S.A.,97.837.181/0001-47,2012,,7758598.0,
DEXXOS PARTICIPAÇÕES S.A.,02.193.750/0001-52,2012,-36522.0,702401.0,-5.1995939641316
DIAGNOSTICOS DA AMERICA S.A.,61.486.650/0001-83,2012,84728.0,4272175.0,1.9832520905627697
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS,92.665.611/0001-77,2012,47105.0,500816.0,9.40564997923389
DIRECIONAL ENGENHARIA S.A.,16.614.075/0001-00,2012,230167.0,3027111.0,7.603520320199689
DOTZ S.A.,18.174.270/0001-84,2012,,,
DURATEX S.A.,97.837.181/0001-47,2012,459711.0,,
DURATEX S.A.,97.837.181/0001-47,2012,459711.0,7758598.0,5.9251813278636165
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,04.149.454/0001-80,2012,427045.0,6195956.0,6.892318150742193
ELETROMIDIA S.A.,09.347.516/0001-81,2012,,,
EMBRAER S.A.,07.689.002/0001-89,2012,699008.0,19393667.0,3.6043106236690567
EMPREENDIMENTOS PAGUE MENOS S.A.,06.626.253/0001-51,2012,,,
ENAUTA PARTICIPAÇÕES S.A.,11.669.021/0001-10,2012,82468.0,2434042.0,3.3881091616332006
ENERGISA S.A.,00.864.214/0001-06,2012,291065.0,5059373.0,5.752985597227166
ENEVA S.A,04.423.567/0001-21,2012,-434454.0,9451180.0,-4.59682283058835
ENGIE BRASIL ENERGIA S.A.,02.474.103/0001-19,2012,1499923.0,12264416.0,12.229877068749136
ENJOEI S.A.,16.922.038/0001-51,2012,,,
EQUATORIAL ENERGIA S.A.,03.220.438/0001-73,2012,215070.0,9433461.0,2.279863138247988
ETERNIT S.A. - EM RECUPERAÇÃO JUDICIAL,61.092.037/0001-81,2012,113004.0,810120.0,13.949044585987261
EUCATEX S.A. INDUSTRIA E COMERCIO,56.643.018/0001-66,2012,88379.0,1779674.0,4.96602186692619
EVEN CONSTRUTORA E INCORPORADORA S.A.,43.470.988/0001-65,2012,270564.0,3773681.0,7.1697634219744595
EZ TEC EMPREEND. E PARTICIPACOES S.A.,08.312.229/0001-73,2012,338220.0,2142761.0,15.784308189294094
FERTILIZANTES HERINGER S.A. - EM RECUPERAÇÃO JUDICIAL,22.266.175/0001-88,2012,-2466.0,3061670.0,-0.08054427812272387
FLEURY S.A.,60.840.055/0001-31,2012,106588.0,2738159.0,3.89268848156736
FRAS-LE S.A.,88.610.126/0001-29,2012,25059.0,897342.0,2.7925807551635833
GAFISA S.A.,01.545.826/0001-07,2012,-76363.0,9070994.0,-0.8418371790346241
GERDAU S.A.,33.611.500/0001-19,2012,1496240.0,53093158.0,2.8181408986822745
GETNINJAS S.A.,14.127.813/0001-51,2012,,,
GOL LINHAS AEREAS INTELIGENTES S.A.,06.164.253/0001-87,2012,-1512915.0,9027098.0,-16.759705056929704
GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,09.229.201/0001-30,2012,,,
GRENDENE S.A.,89.850.341/0001-60,2012,429891.0,2291452.0,18.76063736006689
GRUPO CASAS BAHIA S.A.,33.041.260/0652-90,2012,,,
GRUPO CASAS BAHIA S.A.,33.041.260/0652-90,2012,,,
GRUPO CASAS BAHIA S.A.,33.041.260/0652-90,2012,,12082472.0,
GRUPO DE MODA SOMA S.A.,10.285.590/0001-08,2012,,,
GRUPO MATEUS S.A.,24.990.777/0001-09,2012,,,
GRUPO SBF S.A.,13.217.485/0001-11,2012,,,
GUARARAPES CONFECCOES S.A.,08.402.943/0001-52,2012,365551.0,4240672.0,8.620119641415323
HELBOR EMPREENDIMENTOS S.A.,49.263.189/0001-02,2012,272116.0,3449668.0,7.888179384219003
HIDROVIAS DO BRASIL S.A.,12.648.327/0001-53,2012,-15535.0,232637.0,-6.6777855629156155
HOSPITAL MATER DEI S.A.,16.676.520/0001-59,2012,,,
HYPERA S.A.,02.932.074/0001-91,2012,203913.0,12656511.0,1.61113121933841
IGUA SANEAMENTO S.A.,08.159.965/0001-33,2012,-12388.0,1050825.0,-1.1788832583922155
INDUSTRIAS ROMI S.A.,56.720.428/0001-63,2012,-37369.0,1614560.0,-2.3145005450401346
INDUSTRIAS ROMI S.A.,56.720.428/0001-63,2012,-37369.0,,
INFRACOMMERCE CXAAS S.A.,38.456.921/0001-36,2012,,,
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,17.314.329/0001-20,2012,27544.0,253936.0,10.846827547098481
INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,03.758.318/0001-24,2012,18025.0,20431996.0,0.08821947694194929
IOCHPE MAXION S.A.,61.156.113/0001-75,2012,105706.0,5785582.0,1.8270590581898245
IRANI PAPEL E EMBALAGEM S.A.,92.791.243/0001-03,2012,26383.0,1208090.0,2.18386047397131
JALLES MACHADO S.A.,02.635.522/0001-95,2012,,,
JBS S.A.,02.916.265/0001-60,2012,762890.0,49756193.0,1.5332563727293202
JHSF PARTICIPACOES S.A.,08.294.224/0001-65,2012,184163.0,3266354.0,5.638182511754696
JSL S.A.,52.548.435/0001-79,2012,77735.0,4568939.0,1.7013796857432328
KEPLER WEBER S.A.,91.983.056/0001-69,2012,31281.0,587901.0,5.3207938071205865
KLABIN S.A.,89.637.490/0001-45,2012,751965.0,14097903.0,5.3338783789333775
KORA SAÚDE PARTICIPAÇÕES S.A.,13.270.520/0001-66,2012,,,
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,26.462.693/0001-28,2012,,,
LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A,02.357.251/0001-53,2012,,,
LITEL PARTICIPACOES S.A.,00.743.065/0001-27,2012,1145019.0,32039708.0,3.573749798219135
LOCALIZA RENT A CAR S.A.,16.670.085/0001-55,2012,240936.0,4045908.0,5.955053846998004
LOCAWEB SERVIÇOS DE INTERNET S.A.,02.351.877/0001-52,2012,,,
LOG-IN LOGISTICA INTERMODAL S.A.,42.278.291/0001-24,2012,-24841.0,1892747.0,-1.3124310856126042
LOJAS QUERO QUERO S.A.,96.418.264/0218-02,2012,,,
LOJAS RENNER S.A.,92.754.738/0001-62,2012,355401.0,3770028.0,9.42701221317189
LUPATECH S.A,89.463.822/0001-12,2012,,,
LUPATECH S.A,89.463.822/0001-12,2012,,1632002.0,
LUPATECH S.A. - EM RECUPERAÇÃO JUDICIAL,89.463.822/0001-12,2012,-560357.0,,
LUPATECH S.A. - EM RECUPERAÇÃO JUDICIAL,89.463.822/0001-12,2012,-560357.0,1632002.0,-34.335558412305865
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,07.206.816/0001-15,2012,470538.0,3426892.0,13.730750779423454
MAESTRO LOCADORA DE VEICULOS S.A.,08.795.211/0001-70,2012,,,
MAGAZINE LUIZA S.A.,47.960.950/0001-21,2012,-6745.0,5664755.0,-0.11906958023780376
MAHLE-METAL LEVE S.A.,60.476.884/0001-87,2012,179514.0,2347729.0,7.646282854622488
MARCOPOLO S.A.,88.611.835/0001-29,2012,302357.0,3512075.0,8.609070136600158
MARFRIG GLOBAL FOODS S.A.,03.853.896/0001-40,2012,-233231.0,25589454.0,-0.9114340618600147
MARISA LOJAS S.A.,61.189.288/0001-89,2012,229914.0,2440691.0,9.420037194384705
MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,12.181.987/0001-77,2012,,,
METALFRIO SOLUTIONS S.A.,04.821.041/0001-08,2012,13680.0,980021.0,1.395888455451465
METALURGICA GERDAU S.A.,92.690.783/0001-09,2012,1332677.0,53370116.0,2.497047223955818
MINERVA S.A.,67.620.377/0001-14,2012,-198818.0,4367073.0,-4.552660328783146
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,07.882.930/0001-65,2012,,,
MOBLY S.A.,31.553.627/0001-01,2012,,,
MOURA DUBEUX ENGENHARIA S/A,12.049.631/0001-84,2012,100774.0,2183485.0,4.615282449845087
MOVIDA PARTICIPACOES SA,21.314.559/0001-66,2012,,,
MPM CORPÓREOS S.A.,26.659.061/0001-59,2012,,,
MRV ENGENHARIA E PARTICIPACOES S.A.,08.343.492/0001-20,2012,574837.0,11108742.0,5.174636335959553
MULTILASER INDUSTRIAL S.A.,59.717.553/0001-02,2012,,,
MÉLIUZ S.A.,14.110.585/0001-07,2012,,,
NATURA &CO HOLDING S.A.,32.785.497/0001-97,2012,,,
NEOENERGIA S.A.,01.083.200/0001-18,2012,1552750.0,23354367.0,6.648649479559861
NEOGRID PARTICIPAÇÕES S.A.,10.139.870/0001-08,2012,,,
NUTRIPLANT INDUSTRIA E COMERCIO S.A.,51.128.999/0001-90,2012,7751.0,102710.0,7.546490117807419
OCEANPACT SERVIÇOS MARITIMOS S.A.,09.114.805/0001-30,2012,,,
ODONTOPREV S.A.,58.119.199/0001-51,2012,145763.0,998701.0,14.59525924175504
OI S.A. - EM RECUPERAÇÃO JUDICIAL,76.535.764/0001-43,2012,1784927.0,69076894.0,2.583971132228383
PADTEC HOLDING S.A.,02.365.069/0001-44,2012,-20613.0,866602.0,-2.3786005571184927
PARANAPANEMA S.A.,60.398.369/0004-79,2012,-206488.0,4186697.0,-4.9320024831030285
PARANAPANEMA S.A.,60.398.369/0004-79,2012,-206488.0,,
PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL,60.398.369/0004-79,2012,,4186697.0,
PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL,60.398.369/0004-79,2012,,,
PBG S/A,83.475.913/0001-91,2012,65675.0,695321.0,9.44527779255912
PDG REALTY S.A. EMPREEND E PARTICIPACOES,02.950.811/0001-89,2012,,,
PDG REALTY S.A. EMPREEND E PARTICIPACOES,02.950.811/0001-89,2012,,16034172.0,
PDG REALTY S.A. EMPREEND E PARTICIPACOES - EM REC JUDICIAL,02.950.811/0001-89,2012,-2172855.0,,
PDG REALTY S.A. EMPREEND E PARTICIPACOES - EM REC JUDICIAL,02.950.811/0001-89,2012,-2172855.0,16034172.0,-13.551401344578318
PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,18.328.118/0001-09,2012,,,
PETRO RIO S.A.,10.629.105/0001-68,2012,-277566.0,4256468.0,-6.521040449499445
PETRO RIO S.A.,10.629.105/0001-68,2012,-277566.0,,
PETROBRAS DISTRIBUIDORA S/A,34.274.233/0001-02,2012,,,
PETROBRAS DISTRIBUIDORA S/A,34.274.233/0001-02,2012,,,
PETROLEO BRASILEIRO S.A. PETROBRAS,33.000.167/0001-01,2012,20959362.0,677716287.0,3.092645462717056
PETRORECÔNCAVO S.A.,03.342.704/0001-30,2012,,,
PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,24.230.275/0001-80,2012,,,
POMIFRUTAS S/A,86.550.951/0001-50,2012,-23034.0,156691.0,-14.700269958070342
POMIFRUTAS S/A,86.550.951/0001-50,2012,-23034.0,,
POMIFRUTAS S/A EM RECUPERACAO JUDICIAL,86.550.951/0001-50,2012,,156691.0,
POMIFRUTAS S/A EM RECUPERACAO JUDICIAL,86.550.951/0001-50,2012,,,
POSITIVO TECNOLOGIA S.A.,81.243.735/0001-48,2012,30190.0,1815432.0,1.6629650683694017
PRINER SERVIÇOS INDUSTRIAIS S.A.,18.593.815/0001-97,2012,,,
PRIO S.A.,10.629.105/0001-68,2012,,4256468.0,
PRIO S.A.,10.629.105/0001-68,2012,,,
PRODUTORES ENERGET.DE MANSO S.A.- PROMAN,02.291.077/0001-93,2012,,,
PROFARMA DISTRIB PROD FARMACEUTICOS S.A.,45.453.214/0001-51,2012,42284.0,1430602.0,2.9556787981563004
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,11.992.680/0001-93,2012,23386.0,3095251.0,0.7555445422681392
QUALITY SOFTWARE S.A.,35.791.391/0001-94,2012,,,
RAIA DROGASIL S.A.,61.585.865/0001-51,2012,104855.0,3340186.0,3.139196439958733
RANDON S.A. IMPLEMENTOS E PARTICIPACOES,89.086.144/0001-16,2012,101052.0,4321295.0,2.3384656682776805
RAÍZEN S.A.,33.453.598/0001-23,2012,,,
RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL,08.534.605/0001-74,2012,-6017.0,2678039.0,-0.22467932692541073
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.,49.669.856/0001-43,2012,,,
RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.,49.669.856/0001-43,2012,,,
RNI NEGÓCIOS IMOBILIÁRIOS S.A.,67.010.660/0001-24,2012,84357.0,1743154.0,4.839331464689867
ROMI S.A.,56.720.428/0001-63,2012,,1614560.0,
ROMI S.A.,56.720.428/0001-63,2012,,,
ROSSI RESIDENCIAL S.A.,61.065.751/0001-80,2012,-205718.0,8231963.0,-2.499015119480007
ROSSI RESIDENCIAL S.A.,61.065.751/0001-80,2012,-205718.0,,
ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL,61.065.751/0001-80,2012,,8231963.0,
ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL,61.065.751/0001-80,2012,,,
RUMO MALHA NORTE S.A.,24.962.466/0001-36,2012,377310.0,4479219.0,8.423566697676536
RUMO S.A.,02.387.241/0001-60,2012,243367.0,17652417.0,1.3786610638078627
SAFIRA HOLDING S.A.,13.522.948/0001-59,2012,,,
SANTOS BRASIL PARTICIPACOES S.A.,02.762.121/0001-04,2012,270212.0,2187002.0,12.355361357694232
SAO MARTINHO S.A.,51.466.860/0001-56,2012,126611.0,4787167.0,2.644800150067879
SENDAS DISTRIBUIDORA S.A.,06.057.223/0001-71,2012,,,
SEQUOIA LOGÍSTICA E TRANSPORTES S.A.,01.599.101/0001-93,2012,,,
SER EDUCACIONAL S.A.,04.986.320/0001-13,2012,64256.0,379291.0,16.94108217700921
SLC AGRICOLA S.A.,89.096.457/0001-55,2012,38430.0,3715631.0,1.0342792381697752
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,07.594.978/0001-78,2012,,,
SPRINGS GLOBAL PARTICIPACOES S.A.,07.718.269/0001-57,2012,-144165.0,2467974.0,-5.8414310685606905
SUZANO S.A.,16.404.287/0001-55,2012,-182126.0,25353437.0,-0.7183483643657465
T4F ENTRETENIMENTO S.A.,02.860.694/0001-62,2012,-3957.0,619755.0,-0.6384781082847254
TAURUS ARMAS S.A.,92.781.335/0001-02,2012,-117210.0,1114304.0,-10.518673539716271
TC S.A.,26.345.998/0001-50,2012,,,
TECHNOS S.A.,09.295.063/0001-97,2012,63764.0,505254.0,12.620187074224054
TECNISA S.A.,08.065.557/0001-12,2012,-170948.0,4167991.0,-4.1014483956419285
TEGMA GESTAO LOGISTICA S.A.,02.351.144/0001-18,2012,80476.0,1095528.0,7.345864277316509
TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.,40.337.136/0001-06,2012,,,
TIM S.A.,02.421.421/0001-11,2012,,,
TOTVS S.A.,53.113.791/0001-22,2012,207148.0,1420621.0,14.581510480275881
TPI - TRIUNFO PARTICIP. E INVEST. S.A.,03.014.553/0001-91,2012,515623.0,5117924.0,10.074846754269895
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,07.859.971/0001-30,2012,589182.0,9636364.0,6.11415259946594
TRISUL S.A.,08.811.643/0001-27,2012,27629.0,1467385.0,1.8828732745666612
TRÊS TENTOS AGROINDUSTRIAL S/A,94.813.102/0001-70,2012,,,
ULTRAPAR PARTICIPACOES S.A.,33.256.439/0001-39,2012,1017864.0,15299925.0,6.6527384938161465
UNICASA INDÚSTRIA DE MÓVEIS S.A.,90.441.460/0001-48,2012,,,
UNIFIQUE TELECOMUNICAÇÕES S.A.,02.255.187/0001-08,2012,,,
USINAS SID DE MINAS GERAIS S.A.-USIMINAS,60.894.730/0001-05,2012,-531300.0,32774219.0,-1.6210912607864127
VALE S.A.,33.592.510/0001-54,2012,9232934.0,266921654.0,3.459042704718142
VALID SOLUÇÕES S.A.,33.113.309/0001-47,2012,102829.0,1108581.0,9.27573176881076
"VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.",23.373.000/0001-32,2012,,,
VESTE S.A. ESTILO,49.669.856/0001-43,2012,,,
VESTE S.A. ESTILO,49.669.856/0001-43,2012,,,
VIA S.A.,33.041.260/0652-90,2012,,,
VIA S.A.,33.041.260/0652-90,2012,,,
VIA S.A.,33.041.260/0652-90,2012,,12082472.0,
VIA VAREJO S.A.,33.041.260/0652-90,2012,322159.0,,
VIA VAREJO S.A.,33.041.260/0652-90,2012,322159.0,,
VIA VAREJO S.A.,33.041.260/0652-90,2012,322159.0,12082472.0,2.666333511883992
VIBRA ENERGIA S/A,34.274.233/0001-02,2012,,,
VIBRA ENERGIA S/A,34.274.233/0001-02,2012,,,
VITTIA S.A.,45.365.558/0001-09,2012,,,
VIVARA PARTICIPAÇÕES S.A.,33.839.910/0001-11,2012,,,
VIVER INCORP. E CONSTRUTORA S.A. - EM RECUPERAÇÃO JUDICIAL,67.571.414/0001-41,2012,-463396.0,2575218.0,-17.994437752454356
VIVER INCORP. E CONSTRUTORA S.A. - EM RECUPERAÇÃO JUDICIAL,67.571.414/0001-41,2012,-463396.0,,
VIVER INCORPORADORA E CONSTRUTORA S.A.,67.571.414/0001-41,2012,,2575218.0,
VIVER INCORPORADORA E CONSTRUTORA S.A.,67.571.414/0001-41,2012,,,
VULCABRAS S.A.,50.926.955/0001-42,2012,-307957.0,1375440.0,-22.389708020706102
WEG S.A.,84.429.695/0001-11,2012,664864.0,8873550.0,7.49264950329913
WILSON SONS S.A.,33.130.691/0001-05,2012,,,
YDUQS PARTICIPACOES S.A.,08.807.432/0001-10,2012,109687.0,1239810.0,8.847081407635041
3R PETROLEUM ÓLEO E GÁS S.A.,12.091.809/0001-55,2013,,,
AES BRASIL ENERGIA S.A.,37.663.076/0001-07,2013,,,
AGROGALAXY PARTICIPAÇÕES S.A.,21.240.146/0001-84,2013,,,
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,2013,,,
ALLIANÇA SAÚDE E PARTICIPAÇÕES S.A.,42.771.949/0001-35,2013,,,
ALLIED TECNOLOGIA S.A.,20.247.322/0001-47,2013,,,
"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",60.537.263/0001-66,2013,,,
ALPARGATAS S.A.,61.079.117/0001-05,2013,309763.0,3361984.0,9.213696436389942
ALPHAVILLE S.A.,16.811.931/0001-00,2013,,,
ALUPAR INVESTIMENTO S/A,08.364.948/0001-38,2013,654968.0,8360155.0,7.834400199517832
AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,12.648.266/0001-24,2013,,,
ANIMA HOLDING S.A.,09.288.252/0001-32,2013,34020.0,867023.0,3.923771341706045
AREZZO INDÚSTRIA E COMÉRCIO S.A.,16.590.234/0001-76,2013,110555.0,703866.0,15.706824878599052
"ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.",00.242.184/0001-04,2013,,,
ATACADÃO S.A.,75.315.333/0001-09,2013,,,
AURA MINERALS INC.,07.857.093/0001-14,2013,,,
AUREN ENERGIA S.A.,28.594.234/0001-23,2013,,,
AZUL S.A.,09.305.994/0001-29,2013,,,
BAHEMA EDUCAÇÃO S.A.,45.987.245/0001-92,2013,-2702.0,56591.0,-4.774610803838066
BEMOBI MOBILE TECH S.A.,09.042.817/0001-05,2013,,,
BIOMM S.A.,04.752.991/0001-10,2013,-10059.0,138078.0,-7.285012818841524
BLAU FARMACÊUTICA S.A.,58.430.828/0001-60,2013,,,
BOA SAFRA SEMENTES S.A.,10.807.374/0001-77,2013,,,
BRADESPAR S.A.,03.847.461/0001-92,2013,-47709.0,10858768.0,-0.43935923485979256
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,07.628.528/0001-59,2013,28727.0,770830.0,3.72676206167378
BRASKEM S.A.,42.150.391/0001-70,2013,507038.0,48346083.0,1.0487674875335815
BRF S.A.,01.838.723/0001-27,2013,1066837.0,32374569.0,3.2952932902365437
BRISANET PARTICIPAÇÕES S.A.,19.796.586/0001-70,2013,,,
BRQ SOLUCOES EM INFORMATICA S.A.,36.542.025/0001-64,2013,,,
C&A MODAS S.A.,45.242.914/0001-05,2013,,,
CAMIL ALIMENTOS S.A.,64.904.295/0001-03,2013,,,
CCR S.A.,02.846.056/0001-97,2013,1367884.0,14033010.0,9.747616512779512
CENTRAIS ELET BRAS S.A. - ELETROBRAS,00.001.180/0001-26,2013,-6291375.0,138385401.0,-4.546270744267309
CENTRAIS ELET DE SANTA CATARINA S.A.,83.878.892/0001-55,2013,198874.0,5627763.0,3.533801974248027
CENTRO DE IMAGEM DIAGNOSTICOS S.A.,42.771.949/0001-35,2013,,,
CENTRO DE IMAGEM DIAGNOSTICOS S.A.,42.771.949/0001-35,2013,,,
CIA BRASILEIRA DE DISTRIBUICAO,47.508.411/0001-56,2013,1396207.0,38008352.0,3.6734215679753754
CIA ENERGETICA DE MINAS GERAIS - CEMIG,17.155.730/0001-64,2013,3103855.0,29814142.0,10.410680273810998
CIA FERRO LIGAS DA BAHIA - FERBASA,15.141.799/0001-03,2013,73727.0,1381796.0,5.33559222924368
CIA FIACAO TECIDOS CEDRO CACHOEIRA,17.245.234/0001-00,2013,16090.0,691175.0,2.327919846637972
CIA PARANAENSE DE ENERGIA - COPEL,76.483.817/0001-20,2013,1101435.0,23111445.0,4.765755667808742
CIA SANEAMENTO BASICO EST SAO PAULO,43.776.517/0001-80,2013,,,
CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,17.281.106/0001-03,2013,419795.0,9388470.0,4.47138884184537
CM HOSPITALAR S.A,12.420.164/0001-57,2013,,,
COGNA EDUCAÇÃO S.A.,02.800.026/0001-40,2013,516571.0,4079162.0,12.663654936969898
COMPANHIA BRASILEIRA DE ALUMÍNIO,61.409.892/0001-73,2013,,,
CONSTRUTORA TENDA S.A.,71.476.527/0001-35,2013,-84621.0,2507141.0,-3.375199081344049
COSAN S.A.,50.746.577/0001-15,2013,1391563.0,62398408.0,2.2301258070558467
