DENOM_CIA,CNPJ_CIA,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ENAUTA PARTICIPAÇÕES S.A.,11.669.021/0001-10,122940.0,222919.0,216449.0,-75045.0,188960.0,407987.0,560738.0,643381.0,787891.0,2922619.0,1060025.0
ENERGISA S.A.,00.864.214/0001-06,640253.0,621397.0,1554753.0,1564597.0,1820223.0,2052568.0,3817591.0,3499912.0,3931148.0,5869570.0,6996222.0
ENEVA S.A,04.423.567/0001-21,-408630.0,-280634.0,-313230.0,307915.0,798165.0,1124612.0,1562969.0,1456692.0,1598924.0,2200676.0,2122477.0
ENGIE BRASIL ENERGIA S.A.,02.474.103/0001-19,3108412.0,2969716.0,2895073.0,3104255.0,3051863.0,3499157.0,4327283.0,5158241.0,6484538.0,5940541.0,6790384.0
ENJOEI S.A.,16.922.038/0001-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15487.0,-24340.0,-124594.0,-77954.0
EQUATORIAL ENERGIA S.A.,03.220.438/0001-73,537392.0,539357.0,1217112.0,1125459.0,1522436.0,1791064.0,2514300.0,4938103.0,5495581.0,5771009.0,6486929.0
ETERNIT S.A. - EM RECUPERAÇÃO JUDICIAL,61.092.037/0001-81,184326.0,178036.0,165500.0,131544.0,31338.0,-192897.0,-92263.0,55915.0,207891.0,362070.0,198826.0
EUCATEX S.A. INDUSTRIA E COMERCIO,56.643.018/0001-66,272718.0,231375.0,229003.0,231335.0,195670.0,211845.0,233966.0,266606.0,337791.0,691197.0,565019.0
EVEN CONSTRUTORA E INCORPORADORA S.A.,43.470.988/0001-65,336855.0,344629.0,228331.0,105444.0,-14863.0,-357913.0,-151745.0,179609.0,280421.0,273494.0,134682.0
EZ TEC EMPREEND. E PARTICIPACOES S.A.,08.312.229/0001-73,312143.0,572127.0,446095.0,399444.0,174952.0,321159.0,6049.0,229647.0,275372.0,314567.0,252963.0
FERTILIZANTES HERINGER S.A. - EM RECUPERAÇÃO JUDICIAL,22.266.175/0001-88,251181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLEURY S.A.,60.840.055/0001-31,314774.0,278268.0,308324.0,358096.0,484208.0,619625.0,692538.0,880642.0,837137.0,1056541.0,1190310.0
FRAS-LE S.A.,88.610.126/0001-29,85856.0,104508.0,104632.0,122453.0,123653.0,106431.0,183776.0,175224.0,330886.0,388698.0,453119.0
GAFISA S.A.,01.545.826/0001-07,259389.0,464885.0,59719.0,163706.0,-442370.0,-832098.0,-341216.0,24427.0,11881.0,231506.0,-96432.0
GERDAU S.A.,33.611.500/0001-19,4175704.0,4783874.0,5126382.0,-607603.0,899595.0,3192623.0,5939040.0,5258229.0,7636220.0,23538931.0,20650692.0
GETNINJAS S.A.,14.127.813/0001-51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47570.0
GOL LINHAS AEREAS INTELIGENTES S.A.,06.164.253/0001-87,-385982.0,826955.0,968651.0,235914.0,1144213.0,1495197.0,2068478.0,3860721.0,918708.0,-2498782.0,2277248.0
GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.,09.229.201/0001-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572078.0,735769.0,1122329.0
GRENDENE S.A.,89.850.341/0001-60,393635.0,434805.0,435538.0,454212.0,455943.0,524584.0,521046.0,428925.0,397321.0,482624.0,330564.0
GRUPO CASAS BAHIA S.A.,33.041.260/0652-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-159000.0,2531000.0,650000.0,2279000.0
GRUPO DE MODA SOMA S.A.,10.285.590/0001-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214471.0,10086.0,331956.0,677963.0
GRUPO MATEUS S.A.,24.990.777/0001-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605227.0,1061707.0,1181125.0,1694452.0
GRUPO SBF S.A.,13.217.485/0001-11,0.0,0.0,0.0,0.0,0.0,0.0,260713.0,684849.0,167133.0,718106.0,772129.0
GUARARAPES CONFECCOES S.A.,08.402.943/0001-52,654126.0,746546.0,844156.0,724820.0,689695.0,1188717.0,1701321.0,1318806.0,492737.0,961545.0,961948.0
HELBOR EMPREENDIMENTOS S.A.,49.263.189/0001-02,331492.0,473600.0,338355.0,115796.0,-61901.0,-244042.0,-305448.0,22106.0,66389.0,170071.0,170742.0
HIDROVIAS DO BRASIL S.A.,12.648.327/0001-53,-18217.0,-29757.0,-11614.0,10244.0,158255.0,380596.0,724851.0,449197.0,426416.0,423623.0,673664.0
HOSPITAL MATER DEI S.A.,16.676.520/0001-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283119.0,427974.0
HYPERA S.A.,02.932.074/0001-91,868264.0,1001463.0,1019617.0,990839.0,1141145.0,1236908.0,1318705.0,1206047.0,1440366.0,2101687.0,2651852.0
IGUA SANEAMENTO S.A.,08.159.965/0001-33,28923.0,69329.0,163034.0,116239.0,94495.0,240345.0,212757.0,254996.0,238898.0,207306.0,498287.0
INDUSTRIAS ROMI S.A.,56.720.428/0001-63,-14332.0,66730.0,44796.0,32403.0,-10049.0,81520.0,0.0,0.0,0.0,0.0,0.0
INFRACOMMERCE CXAAS S.A.,38.456.921/0001-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19717.0,16962.0,56823.0
INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,17.314.329/0001-20,67690.0,66274.0,42083.0,37063.0,46376.0,110531.0,105085.0,130885.0,-378018.0,99618.0,489002.0
INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,03.758.318/0001-24,449872.0,1171766.0,1463357.0,1591363.0,4106025.0,1977475.0,2145163.0,1668735.0,1316777.0,2517705.0,2228884.0
IOCHPE MAXION S.A.,61.156.113/0001-75,459571.0,665898.0,646883.0,751066.0,796225.0,798553.0,1057068.0,1095809.0,372140.0,1841333.0,1736915.0
IRANI PAPEL E EMBALAGEM S.A.,92.791.243/0001-03,135274.0,164838.0,171887.0,173231.0,196736.0,101311.0,186668.0,327306.0,242751.0,528268.0,682891.0
JALLES MACHADO S.A.,02.635.522/0001-95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582046.0,897958.0,1150027.0
JBS S.A.,02.916.265/0001-60,4334239.0,6194143.0,10376220.0,12872127.0,11248284.0,11218751.0,11988839.0,19795941.0,28340500.0,41297873.0,34490033.0
JHSF PARTICIPACOES S.A.,08.294.224/0001-65,285132.0,556025.0,247196.0,477428.0,-136879.0,203830.0,342126.0,635732.0,841694.0,1170686.0,952793.0
JSL S.A.,52.548.435/0001-79,594110.0,705031.0,868967.0,1092081.0,1045970.0,1230201.0,1597534.0,2115909.0,431386.0,758072.0,1079820.0
KEPLER WEBER S.A.,91.983.056/0001-69,56899.0,98298.0,160969.0,28823.0,-23329.0,-12749.0,48418.0,83315.0,108754.0,233169.0,548258.0
KLABIN S.A.,89.637.490/0001-45,2236895.0,1885805.0,2651700.0,2490549.0,2821258.0,3492539.0,4656952.0,4719788.0,5597729.0,8203215.0,9859749.0
KORA SAÚDE PARTICIPAÇÕES S.A.,13.270.520/0001-66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107123.0,206081.0,394577.0
LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,26.462.693/0001-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53215.0,119271.0,177354.0,87397.0
LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A,02.357.251/0001-53,0.0,0.0,0.0,0.0,0.0,0.0,13381.0,31213.0,98432.0,199991.0,39247.0
LITEL PARTICIPACOES S.A.,00.743.065/0001-27,1109277.0,-523559.0,-365054.0,-8329129.0,2605226.0,3360964.0,5164402.0,702306.0,0.0,0.0,0.0
LOCALIZA RENT A CAR S.A.,16.670.085/0001-55,875684.0,916526.0,969818.0,934869.0,1015662.0,1240200.0,1590142.0,2212756.0,2468070.0,3697568.0,6592978.0
LOCAWEB SERVIÇOS DE INTERNET S.A.,02.351.877/0001-52,0.0,0.0,0.0,0.0,0.0,0.0,73127.0,106853.0,100780.0,95865.0,151511.0
LOG-IN LOGISTICA INTERMODAL S.A.,42.278.291/0001-24,111141.0,152460.0,187193.0,135874.0,259524.0,-442669.0,198049.0,271146.0,299266.0,369094.0,576061.0
LOJAS QUERO QUERO S.A.,96.418.264/0218-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162460.0,214811.0,246285.0,193872.0
LOJAS RENNER S.A.,92.754.738/0001-62,692199.0,817875.0,1014782.0,1198033.0,1286951.0,1416289.0,1738395.0,2373745.0,1647915.0,1730014.0,2448426.0
LUPATECH S.A,89.463.822/0001-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9687.0,12360.0,-43613.0,-49676.0
LUPATECH S.A. - EM RECUPERAÇÃO JUDICIAL,89.463.822/0001-12,-262084.0,-72765.0,-173466.0,-228740.0,-41556.0,13846.0,-43499.0,0.0,0.0,0.0,0.0
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,07.206.816/0001-15,625291.0,673810.0,770384.0,686636.0,919418.0,966325.0,933120.0,772054.0,974270.0,683873.0,900432.0
MAESTRO LOCADORA DE VEICULOS S.A.,08.795.211/0001-70,0.0,0.0,0.0,0.0,0.0,0.0,25626.0,0.0,0.0,0.0,0.0
MAGAZINE LUIZA S.A.,47.960.950/0001-21,241801.0,476924.0,605260.0,464727.0,714557.0,1030753.0,1245241.0,1775538.0,1527099.0,1287566.0,1935259.0
MAHLE-METAL LEVE S.A.,60.476.884/0001-87,381194.0,426262.0,386191.0,372352.0,117083.0,401864.0,466811.0,440836.0,296563.0,823026.0,816849.0
MARCOPOLO S.A.,88.611.835/0001-29,439823.0,435114.0,306437.0,212506.0,353634.0,119685.0,362090.0,338024.0,268500.0,333495.0,385587.0
MARFRIG GLOBAL FOODS S.A.,03.853.896/0001-40,1976755.0,1372123.0,1668104.0,1710985.0,1477939.0,1566058.0,1075246.0,4609868.0,9247469.0,14174415.0,15227075.0
MARISA LOJAS S.A.,61.189.288/0001-89,498841.0,370821.0,385259.0,269538.0,180735.0,265589.0,417905.0,394922.0,5583.0,281007.0,26254.0
MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,12.181.987/0001-77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58844.0,57615.0,65638.0,76680.0
METALFRIO SOLUTIONS S.A.,04.821.041/0001-08,22892.0,23542.0,43799.0,67812.0,86409.0,101496.0,117786.0,174320.0,130737.0,230237.0,187182.0
METALURGICA GERDAU S.A.,92.690.783/0001-09,4148034.0,4746974.0,5097391.0,-728485.0,891194.0,3184282.0,5914531.0,5249007.0,7628152.0,23500478.0,20588395.0
MINERVA S.A.,67.620.377/0001-14,469441.0,517234.0,652883.0,996528.0,967353.0,1134561.0,896244.0,1726076.0,2102435.0,2382204.0,2837760.0
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,07.882.930/0001-65,0.0,0.0,0.0,0.0,0.0,0.0,23009.0,43729.0,40306.0,45514.0,54653.0
MOBLY S.A.,31.553.627/0001-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7073.0,4096.0,-30987.0,-27630.0
MOURA DUBEUX ENGENHARIA S/A,12.049.631/0001-84,148214.0,162259.0,162806.0,156570.0,3619.0,107232.0,-45243.0,93149.0,-67852.0,66418.0,92536.0
MOVIDA PARTICIPACOES SA,21.314.559/0001-66,0.0,0.0,18265.0,253465.0,263209.0,326847.0,481738.0,743193.0,717181.0,2082987.0,3551971.0
MPM CORPÓREOS S.A.,26.659.061/0001-59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217771.0,125676.0,293468.0,182552.0
MRV ENGENHARIA E PARTICIPACOES S.A.,08.343.492/0001-20,669470.0,504665.0,740029.0,535364.0,496405.0,715699.0,805611.0,827839.0,823466.0,1258119.0,538763.0
MULTILASER INDUSTRIAL S.A.,59.717.553/0001-02,0.0,0.0,0.0,0.0,0.0,249220.0,0.0,0.0,548482.0,816784.0,243587.0
MÉLIUZ S.A.,14.110.585/0001-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30251.0,-63279.0,-127818.0
NATURA &CO HOLDING S.A.,32.785.497/0001-97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2468664.0,3508453.0,3909753.0,2134073.0
NEOENERGIA S.A.,01.083.200/0001-18,2552422.0,2153614.0,2445532.0,2245500.0,2700504.0,3113074.0,4575011.0,5742523.0,6518000.0,9887000.0,11619000.0
NEOGRID PARTICIPAÇÕES S.A.,10.139.870/0001-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44929.0,50665.0,43991.0,24355.0
NUTRIPLANT INDUSTRIA E COMERCIO S.A.,51.128.999/0001-90,13482.0,5503.0,3228.0,-731.0,-2955.0,1408.0,3542.0,1385.0,5893.0,12390.0,17336.0
OCEANPACT SERVIÇOS MARITIMOS S.A.,09.114.805/0001-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103611.0,151136.0,191140.0,256320.0
ODONTOPREV S.A.,58.119.199/0001-51,205087.0,268225.0,280216.0,316407.0,289185.0,584083.0,397549.0,407315.0,539710.0,565712.0,605986.0
OI S.A. - EM RECUPERAÇÃO JUDICIAL,76.535.764/0001-43,7988239.0,9565094.0,10210056.0,7794076.0,6376709.0,2748264.0,542865.0,3896575.0,2530487.0,1964894.0,-14041964.0
PADTEC HOLDING S.A.,02.365.069/0001-44,21000.0,15483.0,-33171.0,-164951.0,135784.0,23191.0,9594.0,3893.0,24920.0,70640.0,44599.0
PARANAPANEMA S.A.,60.398.369/0004-79,-131203.0,265316.0,247497.0,265725.0,108366.0,-214705.0,0.0,0.0,0.0,0.0,0.0
PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL,60.398.369/0004-79,0.0,0.0,0.0,0.0,0.0,0.0,82708.0,274680.0,-74940.0,-186617.0,-1310679.0
PBG S/A,83.475.913/0001-91,132595.0,157247.0,183011.0,166768.0,115312.0,189017.0,288012.0,128845.0,177600.0,360957.0,406214.0
PDG REALTY S.A. EMPREEND E PARTICIPACOES,02.950.811/0001-89,0.0,0.0,0.0,0.0,0.0,0.0,-336708.0,-452802.0,-273918.0,-351807.0,-59733.0
PDG REALTY S.A. EMPREEND E PARTICIPACOES - EM REC JUDICIAL,02.950.811/0001-89,-1753192.0,315862.0,221590.0,-1716426.0,-4533000.0,-1742514.0,0.0,0.0,0.0,0.0,0.0
PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.,18.328.118/0001-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351334.0,402740.0
PETRO RIO S.A.,10.629.105/0001-68,-368577.0,-2579895.0,-891537.0,150050.0,328653.0,131664.0,247082.0,0.0,0.0,0.0,0.0
PETROBRAS DISTRIBUIDORA S/A,34.274.233/0001-02,0.0,0.0,0.0,0.0,439000.0,0.0,0.0,0.0,0.0,0.0,0.0
PETROLEO BRASILEIRO S.A. PETROBRAS,33.000.167/0001-01,53242133.0,62823684.0,8761000.0,25386000.0,65025000.0,80251000.0,108522000.0,144919000.0,112970000.0,280600000.0,369376000.0
PETRORECÔNCAVO S.A.,03.342.704/0001-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474405.0,534806.0,1609420.0
PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,24.230.275/0001-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164750.0,184715.0,184179.0
POMIFRUTAS S/A,86.550.951/0001-50,-4669.0,31704.0,7845.0,-16360.0,-8680.0,0.0,0.0,0.0,0.0,0.0,0.0
POMIFRUTAS S/A EM RECUPERACAO JUDICIAL,86.550.951/0001-50,0.0,0.0,0.0,0.0,0.0,-18133.0,-10787.0,-1262.0,1945.0,364.0,-4496.0
